model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
compact_v2__c0.3__hl12.0,2023,0.8509666622817391,0.49839341707742757,0.1692058221897373,0.6223908918406073,0.022123571216511737,0.6295324287710576,1054,compact_v2,0.3,12.0
compact_v2__c0.3__hl20.0,2023,0.8507724134854786,0.4981770434365835,0.16914223001983442,0.6261859582542695,0.02553692163052789,0.6296912712299424,1054,compact_v2,0.3,20.0
compact_v2__c0.3__hlNone,2023,0.8507609797423462,0.4979413674128926,0.16907216475009715,0.6214421252371917,0.024841710618097677,0.630219985874979,1054,compact_v2,0.3,
compact_v2__c1.0__hl8.0,2023,0.8514442603062168,0.4988739122662126,0.1693724432790336,0.6214421252371917,0.025717079840451094,0.6296701146203543,1054,compact_v2,1.0,8.0
compact_v2__c1.0__hl12.0,2023,0.85116214529681,0.49849546874732814,0.16923453330960458,0.6214421252371917,0.0244506359985277,0.6297711985980086,1054,compact_v2,1.0,12.0
compact_v2__c1.0__hl20.0,2023,0.8507919790721956,0.4981517420120187,0.1691048305524583,0.6214421252371917,0.02561611004247394,0.6296222570559687,1054,compact_v2,1.0,20.0
compact_v2__c1.0__hlNone,2023,0.8508190528434239,0.49791963903775616,0.16904416875748182,0.6223908918406073,0.026490590727158692,0.6303618767509722,1054,compact_v2,1.0,
compact_v2__c3.0__hl8.0,2023,0.8514690162482852,0.49889939858128785,0.16937954174983177,0.6204933586337761,0.029014233166891452,0.629604615288767,1054,compact_v2,3.0,8.0
compact_v2__c3.0__hl12.0,2023,0.851236474066974,0.498567902732629,0.16925953505344257,0.6223908918406073,0.027442251620195222,0.6295465396120442,1054,compact_v2,3.0,12.0
compact_v2__c3.0__hl20.0,2023,0.8509029671258475,0.49820788694012985,0.16914368839971264,0.6214421252371917,0.026668974170898394,0.6296675191543055,1054,compact_v2,3.0,20.0
compact_v2__c3.0__hlNone,2023,0.8509534689302012,0.4980082003703543,0.16908397472716402,0.6214421252371917,0.027353136871041676,0.6302518445143506,1054,compact_v2,3.0,
compact_fifa__c0.1__hl8.0,2023,0.8461181424278829,0.49613618621495453,0.16775184376847488,0.6261859582542695,0.046391165514182806,0.644976394535356,1054,compact_fifa,0.1,8.0
compact_fifa__c0.1__hl12.0,2023,0.8453215942487562,0.4955128832119833,0.16755992785270105,0.6242884250474383,0.0412516837185773,0.6438107638503144,1054,compact_fifa,0.1,12.0
compact_fifa__c0.1__hl20.0,2023,0.8447486165016622,0.49506015567469197,0.16743567282770722,0.6242884250474383,0.0409415086828096,0.6428354786442497,1054,compact_fifa,0.1,20.0
compact_fifa__c0.1__hlNone,2023,0.8443050200093558,0.4946368662659939,0.16731912327797857,0.6233396584440227,0.025644120566083492,0.6415229378887833,1054,compact_fifa,0.1,
compact_fifa__c0.3__hl8.0,2023,0.8466168250633987,0.4966781412591208,0.16795653379783437,0.6242884250474383,0.04339574040676701,0.6456914098809597,1054,compact_fifa,0.3,8.0
compact_fifa__c0.3__hl12.0,2023,0.8462050994330529,0.49632126469210425,0.16789803566851327,0.6223908918406073,0.03350779403391523,0.6447847901945968,1054,compact_fifa,0.3,12.0
compact_fifa__c0.3__hl20.0,2023,0.8456587982401051,0.49589321299391,0.16779015715562504,0.6242884250474383,0.0360474731268761,0.6437749706082639,1054,compact_fifa,0.3,20.0
compact_fifa__c0.3__hlNone,2023,0.8455623561247586,0.4956901882920941,0.16779946511439262,0.6252371916508539,0.03227284631035875,0.6424378902257719,1054,compact_fifa,0.3,
compact_fifa__c1.0__hl8.0,2023,0.8469930855027125,0.49696541574376435,0.1680495287031538,0.6233396584440227,0.04104719092724115,0.6462287071071247,1054,compact_fifa,1.0,8.0
compact_fifa__c1.0__hl12.0,2023,0.8462999009156105,0.4963787538159402,0.16787444035826765,0.6242884250474383,0.038560534919935836,0.6451282598616153,1054,compact_fifa,1.0,12.0
compact_fifa__c1.0__hl20.0,2023,0.8459276459435916,0.49610819976324066,0.16784059802207257,0.6261859582542695,0.038266518253244904,0.6440468437074076,1054,compact_fifa,1.0,20.0
compact_fifa__c1.0__hlNone,2023,0.8458000503224913,0.49591696208712116,0.16783697366868594,0.6261859582542695,0.039684173667344017,0.6422893733753178,1054,compact_fifa,1.0,
compact_fifa__c3.0__hl8.0,2023,0.8471496742694423,0.49709086878311975,0.16809435272789494,0.6223908918406073,0.040245793841426736,0.6464825329541712,1054,compact_fifa,3.0,8.0
compact_fifa__c3.0__hl12.0,2023,0.8467322447281646,0.496705827360788,0.16801874851130488,0.6223908918406073,0.040680321726538876,0.6451600842323691,1054,compact_fifa,3.0,12.0
compact_fifa__c3.0__hl20.0,2023,0.8458321619744701,0.49607557785093864,0.16783016387639876,0.6261859582542695,0.03557567590877261,0.6439124401230588,1054,compact_fifa,3.0,20.0
compact_fifa__c3.0__hlNone,2023,0.8457543331316429,0.49595576451502227,0.16788010552813776,0.6280834914611005,0.04481573556419667,0.6424413821460506,1054,compact_fifa,3.0,
class_prior,2024,1.063171348225615,0.6421302967832245,0.22747417526101385,0.4613506916192026,0.024045364642995504,0.4853960562621981,1229,baseline,,
elo_logistic,2024,0.9162835858234261,0.5409448430094825,0.17856767863179648,0.5817737998372661,0.04356023172894419,0.6059495545622864,1229,baseline,,
compact_v2__c0.1__hl8.0,2024,0.9000879894298408,0.530933572176762,0.17469393538607045,0.5890968266883645,0.036144234954502974,0.6169832640597518,1229,compact_v2,0.1,8.0
compact_v2__c0.1__hl12.0,2024,0.8999912547553253,0.5308653127888943,0.17458298029521807,0.5923515052888527,0.041292879066534526,0.6178086467331354,1229,compact_v2,0.1,12.0
compact_v2__c0.1__hl20.0,2024,0.9001514326235301,0.5309768671521137,0.17456015553547571,0.5947925142392189,0.0396933293780338,0.6188399688217374,1229,compact_v2,0.1,20.0
compact_v2__c0.1__hlNone,2024,0.9004807343478372,0.5312303386173909,0.1745315320637014,0.5939788445890968,0.04238654776120175,0.6203590498462451,1229,compact_v2,0.1,
compact_v2__c0.3__hl8.0,2024,0.8994379840122424,0.5306525735326559,0.174548574775605,0.5890968266883645,0.035918078328960386,0.6184064449192839,1229,compact_v2,0.3,8.0
compact_v2__c0.3__hl12.0,2024,0.8992975906404872,0.5305465512835978,0.17443527289621213,0.5931651749389748,0.04182859709683328,0.6192759926679317,1229,compact_v2,0.3,12.0
compact_v2__c0.3__hl20.0,2024,0.8994078758958164,0.5306235351619198,0.17437741444643085,0.595606183889341,0.041713997862931756,0.6202660018758914,1229,compact_v2,0.3,20.0
compact_v2__c0.3__hlNone,2024,0.9000490191249505,0.5310389433231549,0.17440993826043144,0.5947925142392189,0.04458444316988258,0.6221908746393129,1229,compact_v2,0.3,
compact_v2__c1.0__hl8.0,2024,0.8989403187670751,0.5303868573850368,0.17443744414959433,0.5915378356387306,0.03820560118511842,0.6191926395997045,1229,compact_v2,1.0,8.0
compact_v2__c1.0__hl12.0,2024,0.8987440208662554,0.5302474624374874,0.1743176102974151,0.5915378356387306,0.03700891922518664,0.6201167427257307,1229,compact_v2,1.0,12.0
compact_v2__c1.0__hl20.0,2024,0.8987634738675302,0.5302649092505872,0.17424450638822228,0.5923515052888527,0.037546143441346144,0.6209938674819304,1229,compact_v2,1.0,20.0
compact_v2__c1.0__hlNone,2024,0.8991723254067941,0.5304878571101024,0.1741917101325711,0.5931651749389748,0.039825747855126443,0.6231485460571082,1229,compact_v2,1.0,
compact_v2__c3.0__hl8.0,2024,0.8987855945245976,0.5303168175295204,0.17439916341642,0.5915378356387306,0.037696174644696406,0.6195345350836985,1229,compact_v2,3.0,8.0
compact_v2__c3.0__hl12.0,2024,0.8985727906997041,0.5301605257665027,0.1742717985826963,0.5915378356387306,0.03808000445754713,0.6205137211313729,1229,compact_v2,3.0,12.0
compact_v2__c3.0__hl20.0,2024,0.8985863079244739,0.5301526343676087,0.17419836143370657,0.5915378356387306,0.034764314816244535,0.621738705652812,1229,compact_v2,3.0,20.0
compact_v2__c3.0__hlNone,2024,0.8989535990167221,0.5303348895911646,0.17413800534289028,0.5915378356387306,0.0374877676966429,0.6232868519485281,1229,compact_v2,3.0,
